%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v
s	1	0	3	3	1	n	p	p	justlook.jpg	justlook.jpg		
s	1	0	5	5	1	n	p	p	M9435.jpg	M9435.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.4762	2.4762	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	N2620.jpg	N2620.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	3.0272	3.0272	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	M2694.jpg	M2694.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.4158	1.4158	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	X3120.jpg	X3120.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.022	1.022	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	X3068.jpg	X3068.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.2636	2.2636	1	n	p	p	crosshair.jpg	crosshair.jpg		
%							0		0			
s	1	0	3	3	1	n	p	p	ALinstruct.jpg	ALinstruct.jpg		
s	1	0	5	5	1	n	p	p	ALM_2700.jpg	ALM_2700.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.595	2.595	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALM_9320.jpg	ALM_9320.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.4386	2.4386	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALX_9252.jpg	ALX_9252.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.0456	2.0456	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALN_2499.jpg	ALN_2499.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	0.8832	0.8832	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALX_3181.jpg	ALX_3181.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.242	2.242	1	n	p	p	crosshair.jpg	crosshair.jpg		
%							0		0			
s	1	0	3	3	1	n	p	p	justlook.jpg	justlook.jpg		
s	1	0	5	5	1	n	p	p	X3069.jpg	X3069.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.9076	1.9076	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	M9421.jpg	M9421.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	3.7118	3.7118	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	M3300.jpg	M3300.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.9685	1.9685	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	N2480.jpg	N2480.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.3794	2.3794	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	X3170.jpg	X3170.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	0.7031	0.7031	1	n	p	p	crosshair.jpg	crosshair.jpg		
%							0		0			
s	1	0	3	3	1	n	p	p	ALinstruct.jpg	ALinstruct.jpg		
s	1	0	5	5	1	n	p	p	ALM_3280.jpg	ALM_3280.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	4.5139	4.5139	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALX_3060.jpg	ALX_3060.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	4.6522	4.6522	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALN_5875.jpg	ALN_5875.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	3.9199	3.9199	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALX_3400.jpg	ALX_3400.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.6473	1.6473	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALM_5972.jpg	ALM_5972.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.4556	1.4556	1	n	p	p	crosshair.jpg	crosshair.jpg		
%							0		0			
s	1	0	3	3	1	n	p	p	ERinstruct.jpg	ERinstruct.jpg		
s	1	0	5	5	1	n	p	p	ERX_9800.jpg	ERX_9800.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.2919	1.2919	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ERX_3230.jpg	ERX_3230.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.474	1.474	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ERM_1270.jpg	ERM_1270.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	3.0623	3.0623	1	n	p	p	crosshair.jpg	crosshair.jpg		
